City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
598,Tezu,IN,66.72,clear sky,27.9167,96.1667,Circuit House
602,Piacabucu,BR,78.24,broken clouds,-10.4056,-36.4344,Piaçabuçu News
603,Nayudupeta,IN,79.68,clear sky,13.9,79.9,Hotel Manju
608,Kisangani,CD,71.6,overcast clouds,0.5167,25.2,Grand Ramela Hotel
609,Soe,ID,78.3,overcast clouds,-9.8607,124.284,Dena Hotel
610,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
614,Radhanpur,IN,69.39,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
618,Bowen,AU,77.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
624,Salalah,OM,69.67,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
631,Mocuba,MZ,71.15,few clouds,-16.8392,36.9856,Phama Lodge
632,Juazeiro,BR,73.58,light rain,-9.4117,-40.4986,JB Hotel
636,Eyl,SO,74.88,overcast clouds,7.9803,49.8164,Amiin Hotel
641,Port Blair,IN,78.84,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
643,Caiaponia,BR,67.6,overcast clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
648,Iguape,BR,71.02,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
651,Simao,CN,65.7,clear sky,22.7886,100.9748,Changyu Hotel
656,Itaituba,BR,72.84,overcast clouds,-4.2761,-55.9836,Hotel Campos
657,Villanueva,HN,65.39,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
660,Garissa,KE,74.34,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
664,Champerico,GT,79.29,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
668,Bujaru,BR,73.42,overcast clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
671,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
674,Tutoia,BR,77.61,scattered clouds,-2.7619,-42.2744,Pousada Guará's
675,Nampula,MZ,73.35,mist,-15.1165,39.2666,Ruby Backpackers
687,Yambio,SS,65.25,broken clouds,4.5721,28.3955,Naivasha Hotel
688,Atar,MR,76.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
692,Palmares Do Sul,BR,71.38,clear sky,-30.2578,-50.5097,Restaurante e Pensão Lopes
693,Chapada Dos Guimaraes,BR,65.86,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
695,Miracema Do Tocantins,BR,70.52,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
696,Bata,GQ,76.86,few clouds,1.8639,9.7658,Hotel Elik Melen
697,Barinitas,VE,76.48,broken clouds,8.7622,-70.4111,Rapsodia EcoTours
698,Benguela,AO,74.3,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
701,Pozo Colorado,PY,75.74,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
703,Pasighat,IN,67.15,clear sky,28.0667,95.3333,Siang Guest House
704,Koulamoutou,GA,70.09,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
707,Ladario,BR,72.39,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
