City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
260,Nelson,-41.2833,173.2833,74.44,58,51,5.88,NZ,broken clouds
261,Ati,13.2154,18.3353,57.99,20,5,10.47,TD,clear sky
262,Kahului,20.8947,-156.47,78.06,67,0,12.66,US,clear sky
263,Saldanha,-33.0117,17.9442,66.0,86,100,6.29,ZA,overcast clouds
264,Sukhobuzimskoye,56.5,93.2728,-0.76,98,81,2.19,RU,broken clouds
265,Loikaw,19.6742,97.2094,74.52,24,12,2.04,MM,few clouds
266,Bukachacha,52.9833,116.9167,4.19,69,6,2.59,RU,clear sky
267,Dubno,50.4169,25.7343,31.89,80,100,27.22,UA,light snow
268,Kasongo-Lunda,-6.4667,16.8167,68.27,98,100,1.07,CD,light rain
269,Aklavik,68.2191,-135.0107,4.03,83,100,10.71,CA,overcast clouds
270,Leshukonskoye,64.8989,45.7622,8.44,96,100,5.03,RU,overcast clouds
271,Taksimo,56.3444,114.8794,-7.87,90,92,0.45,RU,overcast clouds
272,Katsuura,35.1333,140.3,48.31,34,90,10.0,JP,overcast clouds
273,Bathsheba,13.2167,-59.5167,77.61,78,75,14.97,BB,broken clouds
274,Port-Gentil,-0.7193,8.7815,80.6,78,97,7.0,GA,overcast clouds
275,Puerto Escondido,15.85,-97.0667,79.63,73,20,0.0,MX,few clouds
276,Venustiano Carranza,19.43,-99.0992,62.58,49,0,3.0,MX,clear sky
277,Sola,-13.8833,167.55,79.05,83,100,10.29,VU,overcast clouds
278,Mandalgovi,45.7625,106.2708,6.96,52,4,7.92,MN,clear sky
279,Coquimbo,-29.9533,-71.3436,62.33,88,0,1.14,CL,clear sky
280,Necochea,-38.5473,-58.7368,61.88,54,100,12.62,AR,overcast clouds
281,Dmitriyevskoye,45.8053,41.8967,33.53,87,100,7.25,RU,overcast clouds
282,Huarmey,-10.0681,-78.1522,70.02,89,100,6.29,PE,overcast clouds
283,Olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,scattered clouds
284,Lingao,19.9103,109.6859,65.71,91,100,15.79,CN,light rain
285,Fare,-16.7,-151.0167,81.12,70,10,9.89,PF,clear sky
286,Kushima,31.4583,131.2333,53.11,36,0,6.29,JP,clear sky
287,Kirakira,-10.4544,161.9205,84.56,74,59,7.43,SB,broken clouds
288,Wellington,-41.2866,174.7756,68.92,73,19,13.8,NZ,few clouds
289,Verkhnyaya Balkariya,43.1279,43.4573,16.72,79,40,13.42,RU,scattered clouds
290,Estelle,29.8458,-90.1067,54.0,74,0,0.0,US,clear sky
291,Qui Nhon,13.7667,109.2333,77.22,80,88,7.02,VN,overcast clouds
292,Lethem,3.3803,-59.7968,78.96,64,42,10.65,GY,scattered clouds
